Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=7d4bc2a107c6669b,Customer Engineer,서울,,least 5 years welcome experience in model development using python or R. Experience in migrating from one database to another...
https://kr.indeed.com/viewjob?jk=444320d2e49672dc,"Application Engineer South Korea (Physics, EE)",대한민국,,"Experience in programming languages LabVIEW, MATLAB, Python or C is a plus. Availability to travel, around 25%. Moreover, we..."
https://kr.indeed.com/viewjob?jk=5bfcdbb81dd0d7be,[검색] 프론트엔드 엔지니어 (전문연구요원 가능),서울,,해도가 높으신 분 테스트/배포 환경 구축/운영 경험이 있으신 분 Typescript 사용 경험이 있으신 분 Python(django) 개발 경험이 있으신 분 기타사항 연봉은 협의 후 결정됩니다. (참고 : 해당 포지션의 대졸...
https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac,[인재풀] 아티스트,서울,,Maya or 3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험
https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d,[Janssen] Data Scientist,서울,,"Expertise in one or more programming languages... R, Python or SAS. 7. Knowledge of relational database architecture..."
https://kr.indeed.com/viewjob?jk=e7cc2dd53f8b03b7,빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직,서울 동대문구,,"석사학위자의 경우 2년 이상 경력자 ㆍ분석결과에 대한 명확한 의사소통 및 문서화 기술이 있으신 분 ㆍR, Python 등 언어를 활용한 데이터 정제, 분석, 모델링, 시각화 경험이 있으신 분 ㆍ데이터 기반 실험 및 모델을 실..."
https://kr.indeed.com/viewjob?jk=d6c05c588971df5a,백엔드 파운트 시스템 엔지니어 (현재 급여수준 이상 보장),서울 충정로역,,"경험 - Linux명령어 및shell스크립트 작성 능숙 우대사항 - Python, Java등을 이용한 프로그래밍 경험 네트워크및 서버에 대한 표준화... 립트 작성 능숙 우대사항 - Python, Java등을 이용한 프로그래..."
https://kr.indeed.com/viewjob?jk=f611a72cc9b1761e,Plat.B 추진단 AID팀 Machine Learning&AI 정규직,서울 강남구,,"구축 지원자격 ﻿일반적인 Back-end 시스템 설계 및 개발 ML/AI 시스템 아키텍쳐 설계 경험 Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 머신러닝 프레임워크 경험자 (TensorFlow..."
https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef,Healthcare Real World Data Analyst 담당자,서울,,"HEOR 전반적인 업무 수행 Qualifications Claims Data 관련 분석 경력자 SAS / Python / R 등 통계 프로그래밍 언어 사용 가능자 통계학 전공자, 통계 및 Epidemiology 관련 석사..."
https://kr.indeed.com/viewjob?jk=9fe4755841bec8ce,"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",과천 과천시,,"데이터 분석 및 컨설팅 분야 ( Python, SAS, 빅데이터) 경력직... 대졸 이상 (학사 이상 우대) - 데이터 분석 분야 경력 2년 이상 ( Python, R, SAS 기반의 DATA Preparation, 통계, 머신러..."
https://kr.indeed.com/viewjob?jk=54e0d08c99dcf507,MI(Market Intelligence)담당 마케팅 전략 경력사원,서울 영등포구,,"마케팅 전략/방향성 도출 경험 보유 4) 우대 사항 - 통계 분석 및 프로그래밍 언어 역량 보유: R, python, Java, SPSS, Tableau, etc. - 영어 능통 역량: 해외법인과 영어 화상 회의 및 현지..."
https://kr.indeed.com/viewjob?jk=a4e8e1be8cfd92f4,데이터분석팀 일반연구원(계약직) 채용,서울 필동,,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : 0명 3. 근무조건 및 계약기간 구 분..."
https://kr.indeed.com/viewjob?jk=c0c6a53781018daf,Native Korean Speaking Software QA Test...,서울 종로3가역,"월급 4,000,000원 - 6,000,000원","Education, Technical Skills / Knowledge) * Experience on Python, Shell * Experience in test tools/framework... Charles..."
https://kr.indeed.com/viewjob?jk=30352a55b8205ca8,AML 데이터 분석/모델링 전문가,서울,,"니다. [자격요건] - 대용량 데이터 분석 Skill/Tool 사용이 가능하신 분 (SAS, R, Python 등) - Anomaly Detection 관점에서의 예측 모델링 개발을 경험하신 분 [우대사항] ﻿ - FDS..."
https://kr.indeed.com/viewjob?jk=733c04bade808d8a,데이터 엔지니어,서울,,"에서의 데이터 파이프라인 구축 및 운영 경험 GA, Tableau 등 외부 분석/시각화 도구에 대한 지식 Python, Java, Scala 중 하나 이상을 이용한 개발 경험 추가 정보 지원 서류 안내 제출서류 : 이력..."
https://kr.indeed.com/viewjob?jk=edf8d34357ba0747,Web Full-Stack Engineer,서울,,related field. Proficiency in one of Java/Typescript/ Python programming languages. Familiarity with front-end frameworks...
https://kr.indeed.com/viewjob?jk=ceb8243bc8ae3c35,[데이터 플랫폼]데이터 엔지니어 (전문연구요원 가능),서울,,및 유지보수 이런 분을 찾습니다 관련 업무 경력 최소 3년 이상 있으신 분 (전문연구요원의 경우 경력 무관) Python 및 기반 데이터 플랫폼 개발 경험이 있으신 분 Docker(Contatiner) 기반 시스템 환경 구축...
https://kr.indeed.com/viewjob?jk=8af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
https://kr.indeed.com/viewjob?jk=64c604193f28b552,데이터분석가,서울,,데이터 분석 경력 2년 이상 5년 이하) - 통계/수학/물리 전공자 및 프로그래밍 관련 전공 석사 이상 - Python 기반 머신러닝(딥러닝) 실무 경험 2년 이상 - SQL 실무 경험 2년 이상 : 실무 면접 전 Pre...
https://kr.indeed.com/viewjob?jk=27ea6faf6a8516fd,퀀트 개발자 (Quant Developer),서울,"연봉 30,000,000원 - 40,000,000원",any... following languages. (C/C++/C#/ Python/Java/Node.js)* Experience with R... languages) C/C++/C#/ Python/Java R/Excel...
https://kr.indeed.com/viewjob?jk=9e1861e691426a98,Field AI Engineer,서울,,"hardware acceleration technologies Experience with Python and C++... depth knowledge of computer architectures, high..."
https://kr.indeed.com/viewjob?jk=444320d2e49672dc,"Application Engineer South Korea (Physics, EE)",대한민국,,"Experience in programming languages LabVIEW, MATLAB, Python or C is a plus. Availability to travel, around 25%. Moreover, we..."
https://kr.indeed.com/viewjob?jk=9fe3ec26cead9adc,[검색] 백엔드 엔지니어 (전문연구요원 가능),서울,,"이런 분을 찾습니다 Docker 기반 환경의 서비스 구축 경험이 있으신 분 Flask, Falcon 등 Python 기반 웹어플리케이션 서버 개발 경험이 있으신 분 RDBMS 또는 Elasticsearch 등을 활용한 시스템..."
https://kr.indeed.com/viewjob?jk=70fccff4d30cb6bf,NAVER IDC 서버 운영/관리(가산),서울 가산동,,"Web, WAS에 대한 지식과 System application 운영 경험 - Shell script, python 활용 가능 - 해외 데이터센터 인프라 구축 또는 운영 경험 - 국가보훈대상자 및 장애인은 법령에 의거 우대..."
https://kr.indeed.com/viewjob?jk=4f319862856fe9c1,"Software Engineer, Machine Learning",서울,,Machine Learning or AI. Programming experience in C++ and Python. Preferred qualifications: PhD or equivalent experience...
https://kr.indeed.com/viewjob?jk=ae8d56c7b5aa16c7,MBC 방송IT센터 소프트웨어 개발 담당,서울 마포구,,"지원자격 o 소프트웨어 개발 경력 1년 이상 보유자(C#/C++, python 개발자) o 남자의 경우 병역필 또는 면제자 o 대한민국 국적자 o... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
https://kr.indeed.com/viewjob?jk=d82f4988f7cedc22,Data Analytics 분야 컨설턴트 - 글로벌 컨설팅Firm,서울,,본적으로 비즈니스 문제 해결이 가능한 컨설팅 자질을 갖추고 있어야 함 - Python 등 관련 코딩 경험자 우대 3) 영어 활용 능력 우수자 우대 4... 자질을 갖추고 있어야 함 - Python 등 관련 코딩 경험자 우대 3...
https://kr.indeed.com/viewjob?jk=84fd9f9deb6105b0,"웹개발, Python 외 신입/경력 계약직",서울 강서구,,"주식회사 쿠바로엠앤씨 웹개발, Python 외 신입/경력 계약직 채용 모집... 게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=22880c1154a12433,"[각 분야별] Java, MySQL, Python 외 정규직",성남 중원구,,"지원자격 경력 신입·경력 학력 대학교졸업(4년) 성별 무관 기타 담당업무 [각 분야별] Java, MySQL, Python 외 정규직 채용 커리어 양식 지원 상세모집요강 접수기간/방법 시작일 2021.2.8 (월) 마감일..."
https://kr.indeed.com/viewjob?jk=f70127e91faf757c,[조선해양/토목/기계] 엔지니어,서울 마포구,"월급 3,000,000원 - 3,200,000원","이미지 프로세싱 전공자 - 해양쓰레기 차단막 운영시스템 개발을 위한 이미지 프로세싱 관련 전공자 우대 - Python, Matlab 등 프로그램 사용자(고급) 우대 ㆍ기계: 세부 전공 무관 - 수치시뮬레이션 가능자 우대 4..."
https://kr.indeed.com/viewjob?jk=55a19c92c845685e,Developer / Designer recruit,서울 논현동,,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
https://kr.indeed.com/viewjob?jk=444320d2e49672dc,"Application Engineer South Korea (Physics, EE)",대한민국,,"Experience in programming languages LabVIEW, MATLAB, Python or C is a plus. Availability to travel, around 25%. Moreover, we..."
https://kr.indeed.com/viewjob?jk=ffd9cedb23e97344,파이썬SW 금융분야 특화 챗봇 개발 함께 할 엔지니어,서울 충정로역,,"처리 과정을 Python language로 구현 - Big data 처리를 위한 SW 개발 - Backend SW 구현, Messenger interface, DBMS I/F 구현 Requirement - Python..."
https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9,자연어처리전문가 금융챗봇 만들어 갈 엔지니어,서울 충정로역,,리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행... Description - 자연어 처리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행 - 자연어 전처리 (형태소 분석...
https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e,기술 인턴 인공지능 응용 연구/개발 인턴,서울 관악구,,"6개월) (협의) *모집 절차: 서류 à인터뷰(오프라인) *지원 자격: 프로그래밍 언어 활용 능력: Python, C, C++ 중 1가지 이상 데이터구조, 알고리즘 과목 이수 머신러닝과 딥러닝의 기본 개념 이해 머신러닝..."
https://kr.indeed.com/viewjob?jk=80a65fe76f39fe46,[XTRM] Data Analyst,서울,,"Stackshare : https://stackshare.io/pubg/xtrm-data [지원 자격] - Python, SQL 등을 활용한 데이터 분석 경험자 - 데이터 시각화에 관심 많으신 분 - 한국에 거주하며..."
https://kr.indeed.com/viewjob?jk=a2b8aae664300392,신한AI 인공지능(AI) 인력,서울 영등포구,,"련전공 : 인공지능 / 수학 / 산업공학 / 컴퓨터공학 / 통계 관련 [우대사항] - 프로그래밍 숙련자 ( python 外 C++, Java 등) - 금융데이터 또는 시계열 데이터 기반 인공지능 모델 구축 및 운영경험 - 강화..."
https://kr.indeed.com/viewjob?jk=c2f5f53dc48263eb,Machine Learning Researcher – On-device...,서울,,"experiences • Algorithm implementation experiences using python with deep learning platform, e.g. PyTorch, TensorFlow..."
https://kr.indeed.com/viewjob?jk=210243e0776dc26f,Data Engineer(신입),서울,,"해외 여행에 결격사유가 없고, 한국어 의사소통이 원활하신 분 - 서초 Office 출근이 가능하신 분 - python으로 프로그래밍이 가능하신 분 [우대 사항] - 퍼블릭 클라우드 서비스에서 개발하고 운영 하는 것에 관심..."
https://kr.indeed.com/viewjob?jk=444320d2e49672dc,"Application Engineer South Korea (Physics, EE)",대한민국,,"Experience in programming languages LabVIEW, MATLAB, Python or C is a plus. Availability to travel, around 25%. Moreover, we..."
https://kr.indeed.com/viewjob?jk=b5b88516a299bbb2,(주)신세계아이앤씨 경력사원 상시,서울 중구,,"0명 공통사항 -. 자동화 Tool에 대한 이해 보유자 -. JAVA, C, JavaScript, Python, HTML, JSP 등 프로그래밍 언어 개발 경험자... Process 및 Process Mangement에..."
https://kr.indeed.com/viewjob?jk=b9b5a48d2121caca,Life Actuarial Analyst (Intern) - Korea,서울,,"Familiarity with programming tool... SAS, DB2, R, Python preferred Bachelors Degree required Actuarial exam progress..."
https://kr.indeed.com/viewjob?jk=51a9e497c5eef66c,2021년 2월 IT분야 경력직원,서울 마포구,,"이상 - Hive, Impala 기반 데이터 처리 경험 - 하둡 클러스터 개발 또는 운영 경험 [우대사항] ㅇ Python, Shell Programming 경험자 ㅇ NiFi, Kafka 빅데이터 수집 모듈 경험 및 빅데이..."
https://kr.indeed.com/viewjob?jk=010d38b18b07b6bb,데이터 분야 경력,서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
https://kr.indeed.com/viewjob?jk=18f62dc644a89e0c,2021 Global Data Internship - Seoul (Kor...,서울,,"work experience using one or more programming language (e.g. Python, JavaScript, SQL, etc.) Prior coursework or involvement..."
https://kr.indeed.com/viewjob?jk=7e94b666d8fbe2d0,[개발자] 꿈 찾아드립니다. 저희와 함께하세요.,서울,,C++ / Python 개발자 (우대)(1명) 이미지 프로세싱 관련 개발 경험이 있으신 분 - OpenCV 를 이용한 C++ 혹은 Python 개발에... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=60495f8f583de7aa,2021년 각 부문별 경력직 공개,성남 분당구,,"Collection, Data Pipeline, Data Warehouse 구축 경험 3년 이상 ㆍ우대 사항 - Python / Java(Scala) 등을 이용하여 데이터 처리 개발 가능 - 대용량 데이터 분석 및 빅데이터..."
https://kr.indeed.com/viewjob?jk=e8a4630bec0783e8,2021 Market Data Analyst - Seoul,서울,,"work experience using one more programming language... Python, SQL and R Fluency in Korean and English (both spoken..."
https://kr.indeed.com/viewjob?jk=23dfc13905f7fcc0,[Search] Knowledge Base Applications (신입...,서울,,"이터 수집 및 취합 - 빅데이터 기술을 이용한 데이터 분석 - 데이터 시각화 [필요기술] - Java/ Python/Scala 중 최소 1 가지이상 숙련자 - Web(HTML, JS, D3 ) [우대사항] - 대용량 데이..."
https://kr.indeed.com/viewjob?jk=be95b5718905880f,AI/빅데이터/클라우드 분야 (인재 Pool),서울,,"Science를 위한 언어(R/ Python) 및 Tool(scikit-learn/Tensorflow 등) 능숙자 . Deep Learning Model 구현 경험자 . Java, Python등을 이용하여 분석을 위한 Data..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=0592fae45af22542,2021년 상반기 Python 경력,성남 분당구,,1년이상) 학력 학력무관 성별 무관 기타 담당업무 2021년 상반기 Python 경력 채용 커리어 양식 지원 상세모집요강 접수기간/방법 지원방법... 산업 직무별(직종) 웹프로그래머 Python 응용프로그래머응용프로그래머 산업...
https://kr.indeed.com/viewjob?jk=2c4c5856662783e7,Data Analyst,서울,,learning / predictive modeling ) • 통계 프로그램 활용 능력 SAS / R / Python 중 최소 1가지 중급 이상의 활용능력 요구 • Communication Basic English...
https://kr.indeed.com/viewjob?jk=42006c8f26b8f263,2월 11번가 Backend 개발 경력공채,서울 중구,,"및 운영 2. 활용기술 [서버 개발] - Spring Boot 2.x, Spring Cloud, Reactor, Python, Node.js - Oracle, MongoDB, MySQL, Kafka, Redis, Spring..."
https://kr.indeed.com/viewjob?jk=39e99c8ed1d40a8f,2021 토스 전 계열사 대규모,서울 강남구,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=5bfcdbb81dd0d7be,[검색] 프론트엔드 엔지니어 (전문연구요원 가능),서울,,해도가 높으신 분 테스트/배포 환경 구축/운영 경험이 있으신 분 Typescript 사용 경험이 있으신 분 Python(django) 개발 경험이 있으신 분 기타사항 연봉은 협의 후 결정됩니다. (참고 : 해당 포지션의 대졸...
https://kr.indeed.com/viewjob?jk=f10a132f53b6307d,Applied Data Scientist,서울,,"relevant subject Programming skills (Hadoop, Spark, SQL, Python) Prototyping Statistical Modelling Analytical Techniques..."
https://kr.indeed.com/viewjob?jk=54e0d08c99dcf507,MI(Market Intelligence)담당 마케팅 전략 경력사원,서울 영등포구,,"마케팅 전략/방향성 도출 경험 보유 4) 우대 사항 - 통계 분석 및 프로그래밍 언어 역량 보유: R, python, Java, SPSS, Tableau, etc. - 영어 능통 역량: 해외법인과 영어 화상 회의 및 현지..."
https://kr.indeed.com/viewjob?jk=8af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
https://kr.indeed.com/viewjob?jk=9fe3ec26cead9adc,[검색] 백엔드 엔지니어 (전문연구요원 가능),서울,,"이런 분을 찾습니다 Docker 기반 환경의 서비스 구축 경험이 있으신 분 Flask, Falcon 등 Python 기반 웹어플리케이션 서버 개발 경험이 있으신 분 RDBMS 또는 Elasticsearch 등을 활용한 시스템..."
https://kr.indeed.com/viewjob?jk=30352a55b8205ca8,AML 데이터 분석/모델링 전문가,서울,,"니다. [자격요건] - 대용량 데이터 분석 Skill/Tool 사용이 가능하신 분 (SAS, R, Python 등) - Anomaly Detection 관점에서의 예측 모델링 개발을 경험하신 분 [우대사항] ﻿ - FDS..."
https://kr.indeed.com/viewjob?jk=661a80939b1acd30,Solutions Engineer,서울,,"Kubernetes) • Proficient in one or more programming languages ( Python, JavaScript, Golang, etc.) What you’ll bring: • 5 +..."
https://kr.indeed.com/viewjob?jk=e91a6a5eb66c641f,21년 상반기 현대오트론 경력사원 수시,서울,,통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>자율주행
https://kr.indeed.com/viewjob?jk=ddd1f037549e47a2,"솔루션 개발자, 품질인력 채용",서울,,"Python 및 기타 프로그래밍 언어 능숙자(C/C++/C#/Java/PHP) 윈도우 및 리눅스 운영체제 활용 능숙자 IP 네트워크, 운영체제, 데이터베이스 등 CS 기본 지식 서버사이드스크립트( Python/PHP..."
https://kr.indeed.com/viewjob?jk=a4e8e1be8cfd92f4,데이터분석팀 일반연구원(계약직) 채용,서울 필동,,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : 0명 3. 근무조건 및 계약기간 구 분..."
https://kr.indeed.com/viewjob?jk=e9d6c53d8915adf6,"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 신입/...",서울,,"TensorFlow, PyTorch) · Python, C++ 등의 프로그... 자격요건] · 주도적으로 문제를 찾고, 해결할 수 있는 분 · Python 등의 프로그래밍 언어를 다룰 수 있는 분 · Tensorflow..."
https://kr.indeed.com/viewjob?jk=e7cc2dd53f8b03b7,빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직,서울 동대문구,,"석사학위자의 경우 2년 이상 경력자 ㆍ분석결과에 대한 명확한 의사소통 및 문서화 기술이 있으신 분 ㆍR, Python 등 언어를 활용한 데이터 정제, 분석, 모델링, 시각화 경험이 있으신 분 ㆍ데이터 기반 실험 및 모델을 실..."
https://kr.indeed.com/viewjob?jk=444320d2e49672dc,"Application Engineer South Korea (Physics, EE)",대한민국,,"Experience in programming languages LabVIEW, MATLAB, Python or C is a plus. Availability to travel, around 25%. Moreover, we..."
https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d,[Janssen] Data Scientist,서울,,"Expertise in one or more programming languages... R, Python or SAS. 7. Knowledge of relational database architecture..."
https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac,[인재풀] 아티스트,서울,,Maya or 3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험
https://kr.indeed.com/viewjob?jk=e631d46f39019d13,각 분야별 인재 Pool 등록,서울,,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 업무내용..."
